GID,Pos,Name,Team,Opponent,Home/Away,Salary,Salary Change,Points,GP,Pts/Game,Pts/G/$,Pts/G(alt),Bye week,YTD Salary H/L
5560,RB,"Hunt, Kareem",kan,was,H,8500,500,75.5,2,37.75,4.44,28.3,10,H
1514,QB,"Wentz, Carson",phi,lac,A,6600,700,52.7,2,26.35,3.99,13.24,10,H
1254,QB,"Smith, Alex",kan,was,H,6300,400,50.16,2,25.08,3.98,15.1,10,H
1488,QB,"Siemian, Trevor",den,oak,H,5200,-300,48.3,2,24.15,4.64,9.56,5,L
5392,RB,"Montgomery, Ty",gb,chi,H,7500,600,48.3,2,24.15,3.22,13,8,H
2992,RB,"Gurley, Todd",lar,dal,A,7800,1000,48.2,2,24.1,3.09,40.9,8,H
3872,WR,"Crabtree, Michael",oak,den,A,6200,-1200,46.3,2,23.15,3.73,1.7,10,L
4262,TE,"Witten, Jason",dal,lar,H,5000,500,44.6,2,22.3,4.46,1.3,6,H
1131,QB,"Brady, Tom",ne,car,H,8000,300,44.46,2,22.23,2.78,39.72,9,H
1252,QB,"Rodgers, Aaron",gb,chi,H,7600,300,44.06,2,22.03,2.9,28.82,8,H
3474,WR,"Brown, Antonio",pit,bal,A,9300,300,43.4,2,21.7,2.33,30,9,H
2924,RB,"Anderson, C.J.",den,oak,H,5600,-200,43.2,2,21.6,3.86,6.3,5,L
1340,QB,"Stafford, Matthew",det,min,A,6000,-200,42.26,2,21.13,3.52,16.46,7,L
7003,D,Baltimore,bal,pit,H,3000,-900,42,2,21,7,-4,10,L
5409,WR,"Nelson, J.J.",ari,sfo,H,5600,300,41.3,2,20.65,3.69,0,8,H
2915,RB,"Thompson, Chris",was,kan,A,5200,700,41.2,2,20.6,3.96,33.8,5,H
1151,QB,"Brees, Drew",no,mia,A,7200,0,40.88,2,20.44,2.84,20.8,5,
1441,QB,"Carr, Derek",oak,den,A,5800,-1000,39.88,2,19.94,3.44,7.22,10,L
2991,RB,"Gordon, Melvin",lac,phi,H,7000,-600,39.7,2,19.85,2.84,13.9,9,L
5564,RB,"Cohen, Tarik",chi,gb,A,5500,-100,39.1,2,19.55,3.55,14.2,9,L
1231,QB,"Rivers, Philip",lac,phi,H,6300,-100,38.92,2,19.46,3.09,6.48,9,L
5485,WR,"Hill, Tyreek",kan,was,H,6800,200,38.7,2,19.35,2.85,20,10,H
5534,RB,"Fournette, Leonard",jac,nyj,A,6700,700,38.5,2,19.25,2.87,17,8,H
4582,TE,"Kelce, Travis",kan,was,H,6000,0,36.7,2,18.35,3.06,1.1,10,
5198,WR,"Allen, Keenan",lac,phi,H,7200,0,36.5,2,18.25,2.53,11.1,9,
5333,WR,"Thielen, Adam",min,det,H,5800,100,36.1,2,18.05,3.11,14.8,9,H
2930,RB,"Freeman, Devonta",atl,buf,H,7300,600,35.9,2,17.95,2.46,25.8,5,H
1301,QB,"Ryan, Matt",atl,buf,H,7400,300,35.82,2,17.91,2.42,16.66,5,H
2894,RB,"Gillislee, Mike",ne,car,H,5400,-300,35.4,2,17.7,3.28,3.1,9,L
5186,WR,"Kearse, Jermaine",nyj,jac,H,4600,0,35.3,2,17.65,3.84,7.2,11,
1501,QB,"Prescott, Dak",dal,lar,H,6200,400,35.04,2,17.52,2.83,22.92,6,H
1232,QB,"Roethlisberger, Ben",pit,bal,A,6000,-200,34.24,2,17.12,2.85,13,9,L
2707,RB,"McCoy, LeSean",buf,atl,A,8400,1400,34.2,2,17.1,2.04,13.9,6,H
2933,RB,"Hyde, Carlos",sfo,ari,A,6600,1400,34,2,17,2.58,24.4,11,H
7011,D,Detroit,det,min,A,2700,300,33,2,16.5,6.11,13,7,H
1466,QB,"Mariota, Marcus",ten,hou,A,6400,400,32.84,2,16.42,2.57,19.7,8,H
5206,WR,"Hopkins, DeAndre",hou,ten,H,6400,200,32.8,2,16.4,2.56,14.6,7,H
5424,WR,"Diggs, Stefon",min,det,H,7100,600,32.8,2,16.4,2.31,40.3,9,H
4569,TE,"Ertz, Zach",phi,lac,A,6300,1300,32,2,16,2.54,18.5,10,H
4494,TE,"Gronkowski, Rob",ne,car,H,6600,-200,31.9,2,15.95,2.42,22.9,9,L
1207,QB,"Palmer, Carson",ari,sfo,H,6100,100,31.84,2,15.92,2.61,24.7,8,H
5263,WR,"Adams, Davante",gb,chi,H,5900,300,31.6,2,15.8,2.68,9,8,H
1490,QB,"Goff, Jared",lar,dal,A,5600,400,31.5,2,15.75,2.81,23.58,8,H
5153,WR,"Jeffery, Alshon",phi,lac,A,6200,300,31,2,15.5,2.5,9.6,10,H
3995,WR,"Tate, Golden",det,min,A,6300,-600,30.9,2,15.45,2.45,18.8,7,L
4360,TE,"Walker, Delanie",ten,hou,A,4900,500,30.8,2,15.4,3.14,7.1,8,H
5125,WR,"Cobb, Randall",gb,chi,H,6000,0,30.5,2,15.25,2.54,0,8,
1400,QB,"Taylor, Tyrod",buf,atl,A,5300,400,30.26,2,15.13,2.85,17.82,6,H
7025,D,Los Angeles,lar,dal,A,2800,-700,30,2,15,5.36,4,8,L
3983,WR,"Sanders, Emmanuel",den,oak,H,6100,300,29.8,2,14.9,2.44,14.5,5,H
5089,WR,"Jones, Julio",atl,buf,H,8800,-500,29.4,2,14.7,1.67,16.1,5,L
4653,TE,"James, Jesse",pit,bal,A,3000,-300,28.8,2,14.4,4.8,3.9,9,L
4552,TE,"Fleener, Coby",no,mia,A,3400,-700,28.7,2,14.35,4.22,3.1,5,L
1420,QB,"Glennon, Mike",chi,gb,A,4500,-200,28.56,2,14.28,3.17,7.44,9,L
1344,QB,"Bradford, Sam",min,det,H,5700,0,28.54,1,28.54,5.01,0,9,
5378,WR,"Agholor, Nelson",phi,lac,A,3900,-300,28.5,2,14.25,3.65,4,10,L
1175,QB,"McCown, Josh",nyj,jac,H,4500,0,28.22,2,14.11,3.14,14.66,11,
5370,RB,"Allen, Javorius",bal,pit,H,4700,-300,28.2,2,14.1,3,7.8,10,L
5444,RB,"Elliott, Ezekiel",dal,lar,H,8200,-100,28.2,2,14.1,1.72,18.4,6,L
5559,RB,"Cook, Dalvin",min,det,H,6500,600,28.1,2,14.05,2.16,27.9,9,H
2954,RB,"White, James",ne,car,H,5000,-400,27.4,2,13.7,2.74,3.8,9,L
5341,WR,"Hurns, Allen",jac,nyj,A,4700,100,27.4,2,13.7,2.91,11,8,H
7014,D,Jacksonville,jac,nyj,A,3600,200,27,2,13.5,3.75,12,8,H
3830,WR,"Maclin, Jeremy",bal,pit,H,4500,-700,26.7,2,13.35,2.97,1.8,10,L
2929,RB,"West, Terrance",bal,pit,H,4100,-800,26.5,2,13.25,3.23,1.6,10,L
4677,TE,"Hooper, Austin",atl,buf,H,3300,-500,26.5,2,13.25,4.02,1.9,5,L
7023,D,Philadelphia,phi,lac,A,3300,300,26,2,13,3.94,4,10,H
7024,D,Pittsburgh,pit,bal,A,3500,100,26,2,13,3.71,6,9,H
1378,QB,"Newton, Cam",car,ne,A,5900,-700,25.96,2,12.98,2.2,11.28,11,L
1415,QB,"Cousins, Kirk",was,kan,A,6500,400,25.46,2,12.73,1.96,29.8,5,H
1517,QB,"Kizer, DeShone",cle,cin,H,5200,200,25.46,2,12.73,2.45,25.08,9,H
1518,QB,"Watson, Deshaun",hou,ten,H,5100,400,25.38,2,12.69,2.49,25.14,7,H
3891,WR,"Bryant, Dez",dal,lar,H,6500,-300,25.2,2,12.6,1.94,9.2,6,L
7005,D,Carolina,car,ne,A,2300,-300,25,2,12.5,5.43,0,11,L
3997,WR,"Thomas, Demaryius",den,oak,H,6300,400,24.8,2,12.4,1.97,15.8,5,H
5554,WR,"Golladay, Kenny",det,min,A,4100,-500,24.7,2,12.35,3.01,4.5,7,L
1412,QB,"Wilson, Russell",sea,ind,H,7300,1000,24.64,2,12.32,1.69,36.52,6,H
5376,WR,"Cooper, Amari",oak,den,A,6000,-1100,24.5,2,12.25,2.04,1.6,10,L
5159,WR,"Sanu, Mohamed",atl,buf,H,4800,300,24.2,2,12.1,2.52,12.8,5,H
5091,WR,"Green, A.J.",cin,cle,A,8600,500,24.1,2,12.05,1.4,30.1,6,H
5552,WR,"Kupp, Cooper",lar,dal,A,4300,-400,23.9,2,11.95,2.78,3.7,8,L
2793,RB,"Ingram, Mark",no,mia,A,4600,100,23.7,2,11.85,2.58,10.6,5,H
1302,QB,"Flacco, Joe",bal,pit,H,4900,-400,23.42,2,11.71,2.39,-0.88,10,L
5459,WR,"Thomas, Michael",no,mia,A,7300,300,23.4,2,11.7,1.6,21.7,5,H
2859,RB,"Miller, Lamar",hou,ten,H,4500,-500,23.3,2,11.65,2.59,7.3,7,L
4701,TE,"Engram, Evan",nyg,tam,A,3000,-200,23.3,2,11.65,3.88,9.5,8,L
1442,QB,"Bortles, Blake",jac,nyj,A,5300,900,23.12,2,11.56,2.18,27.56,8,H
5490,RB,"Richard, Jalen",oak,den,A,3900,-200,22.7,2,11.35,2.91,1.8,10,L
2830,RB,"Vereen, Shane",nyg,tam,A,3600,-400,22.6,2,11.3,3.14,4.3,8,L
5167,WR,"Hogan, Chris",ne,car,H,6000,-100,22.3,2,11.15,1.86,22.8,9,L
5253,WR,"Evans, Mike",tam,nyg,H,7400,-100,22.3,1,22.3,3.01,13.7,1,L
2994,RB,"Coleman, Tevin",atl,buf,H,5000,-300,22.3,2,11.15,2.23,11.9,5,L
5367,WR,"Bryant, Martavis",pit,bal,A,5400,-300,22.2,2,11.1,2.06,5,9,L
2552,RB,"Lynch, Marshawn",oak,den,A,5000,-1000,22.1,2,11.05,2.21,3.6,10,L
4594,TE,"Doyle, Jack",ind,sea,A,3400,-200,22,2,11,3.24,2.6,11,L
5326,WR,"Coleman, Brandon",no,mia,A,3500,-400,21.5,2,10.75,3.07,8.1,5,L
5168,WR,"Jones, Marvin",det,min,A,4000,-200,21.4,2,10.7,2.67,5.4,7,L
2907,RB,"Riddick, Theo",det,min,A,4500,-600,21.3,2,10.65,2.37,7.8,7,L
3751,WR,"Nelson, Jordy",gb,chi,H,7700,-100,20.9,1,20.9,2.71,23.2,8,L
5536,RB,"McCaffrey, Christian",car,ne,A,6800,700,20.9,2,10.45,1.54,23.7,11,H
2888,RB,"Bell, Le'Veon",pit,bal,A,8700,-100,20.8,2,10.4,1.2,21.8,9,L
4543,TE,"Clay, Charles",buf,atl,A,3700,300,20.6,2,10.3,2.78,15.9,6,H
5136,WR,"Baldwin, Doug",sea,ind,H,6900,500,20.4,2,10.2,1.48,29.5,6,H
5162,WR,"Wright, Kendall",chi,gb,A,3800,-500,20.3,2,10.15,2.67,0,9,L
1225,QB,"Manning, Eli",nyg,tam,A,5700,400,20.26,2,10.13,1.78,27.64,8,H
2612,RB,"Stewart, Jonathan",car,ne,A,4300,-400,20.2,2,10.1,2.35,7.1,11,L
4537,TE,"Rudolph, Kyle",min,det,H,4100,-100,20.1,2,10.05,2.45,1.4,9,L
5335,WR,"Landry, Jarvis",mia,no,H,6500,-300,20.1,1,20.1,3.09,10.8,1,L
5260,WR,"Richardson, Paul",sea,ind,H,4600,500,19.8,2,9.9,2.15,11,6,H
5432,WR,"Williams, Tyrell",lac,phi,H,4400,-200,19.8,2,9.9,2.25,3.5,9,L
2613,RB,"Forte, Matt",nyj,jac,H,3900,-400,19.7,2,9.85,2.53,2.5,11,L
3754,WR,"Garcon, Pierre",sfo,ari,A,5500,200,19.7,2,9.85,1.79,24.2,11,H
5182,WR,"Matthews, Rishard",ten,hou,A,4900,700,19.4,2,9.7,1.98,20.7,8,H
4573,TE,"Reed, Jordan",was,kan,A,5400,0,19.4,2,9.7,1.8,0,5,
3851,WR,"Amendola, Danny",ne,car,H,4900,-500,19,1,19,3.88,7.8,9,L
7004,D,Buffalo,buf,atl,A,2300,-300,19,2,9.5,4.13,8,6,L
7029,D,Tampa Bay,tam,nyg,H,3400,200,19,1,19,5.59,-1,1,H
7031,D,Washington,was,kan,A,2500,100,19,2,9.5,3.8,14,5,H
5353,WR,"Fowler, Bennie",den,oak,H,3300,300,18.9,2,9.45,2.86,9.5,5,H
